Date : 2023-01-07 13:51:00
Directory : c:\Users\Aurélien\Documents\dev\MathAnimation\Animations
Total : 3993 files,  916211 codes, 102660 comments, 145608 blanks, all 1164479 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\src\Confusables.cpp                                                             | C++                |      1,807 |          4 |          8 |      1,819 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\src\Lexer.cpp                                                                   | C++                |        984 |         41 |        242 |      1,267 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\src\Location.cpp                                                                | C++                |        108 |          1 |         23 |        132 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\src\Parser.cpp                                                                  | C++                |      2,247 |        161 |        707 |      3,115 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\src\StringUtils.cpp                                                             | C++                |        235 |          8 |         50 |        293 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\src\TimeTrace.cpp                                                               | C++                |        220 |          5 |         45 |        270 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Analyze.cpp                                                                     | C++                |        230 |          7 |         60 |        297 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Ast.cpp                                                                         | C++                |         69 |          1 |         17 |         87 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Coverage.cpp                                                                    | C++                |         66 |          1 |         22 |         89 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Coverage.h                                                                      | C++                |          6 |          1 |          4 |         11 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\FileUtils.cpp                                                                   | C++                |         83 |        186 |         23 |        292 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\FileUtils.h                                                                     | C++                |         12 |          1 |          6 |         19 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Flags.cpp                                                                       | C++                |         63 |          1 |         12 |         76 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Flags.h                                                                         | C++                |          3 |          1 |          2 |          6 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Profiler.cpp                                                                    | C++                |        118 |          5 |         35 |        158 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Profiler.h                                                                      | C++                |          5 |          1 |          3 |          9 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Reduce.cpp                                                                      | C++                |        387 |         27 |         98 |        512 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Repl.cpp                                                                        | C++                |        819 |         42 |        168 |      1,029 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Repl.h                                                                          | C++                |          9 |          3 |          6 |         18 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\ReplEntry.cpp                                                                   | C++                |          5 |          1 |          2 |          8 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CLI\Web.cpp                                                                         | C++                |         81 |          7 |         27 |        115 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CONTRIBUTING.md                                                                     | Markdown           |         35 |          0 |         27 |         62 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\AddressA64.h                                                   | C++                |         39 |          5 |         10 |         54 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\AssemblyBuilderA64.h                                           | C++                |        106 |         23 |         33 |        162 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\AssemblyBuilderX64.h                                           | C++                |        161 |         19 |         52 |        232 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\CodeAllocator.h                                                | C++                |         28 |         12 |         16 |         56 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\CodeBlockUnwind.h                                              | C++                |         11 |          2 |          5 |         18 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\CodeGen.h                                                      | C++                |         21 |          4 |         12 |         37 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\ConditionA64.h                                                 | C++                |         26 |          1 |         11 |         38 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\ConditionX64.h                                                 | C++                |         37 |          1 |         10 |         48 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\Label.h                                                        | C++                |         13 |          1 |          5 |         19 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\OperandX64.h                                                   | C++                |        115 |          2 |         26 |        143 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\RegisterA64.h                                                  | C++                |         93 |          1 |         12 |        106 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\RegisterX64.h                                                  | C++                |        118 |          1 |         19 |        138 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\UnwindBuilder.h                                                | C++                |         25 |          2 |         12 |         39 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\UnwindBuilderDwarf2.h                                          | C++                |         30 |          2 |         14 |         46 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\include\Luau\UnwindBuilderWin.h                                             | C++                |         38 |          3 |         16 |         57 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\AssemblyBuilderA64.cpp                                                  | C++                |        623 |          4 |         96 |        723 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\AssemblyBuilderX64.cpp                                                  | C++                |      1,131 |         11 |        250 |      1,392 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\ByteUtils.h                                                             | C++                |         63 |          1 |         17 |         81 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\CodeAllocator.cpp                                                       | C++                |        153 |         10 |         47 |        210 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\CodeBlockUnwind.cpp                                                     | C++                |         90 |          5 |         30 |        125 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\CodeGen.cpp                                                             | C++                |        618 |         21 |        112 |        751 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\CodeGenUtils.cpp                                                        | C++                |         88 |         13 |         30 |        131 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\CodeGenUtils.h                                                          | C++                |         13 |          1 |          7 |         21 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\CodeGenX64.cpp                                                          | C++                |         86 |         34 |         29 |        149 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\CodeGenX64.h                                                            | C++                |         12 |          1 |          6 |         19 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\CustomExecUtils.h                                                       | C++                |        101 |          2 |         28 |        131 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\EmitBuiltinsX64.cpp                                                     | C++                |         77 |          2 |         31 |        110 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\EmitBuiltinsX64.h                                                       | C++                |         21 |          1 |          7 |         29 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\EmitCommonX64.cpp                                                       | C++                |        248 |         35 |         66 |        349 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\EmitCommonX64.h                                                         | C++                |        191 |         19 |         55 |        265 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\EmitInstructionX64.cpp                                                  | C++                |      1,130 |        116 |        386 |      1,632 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\EmitInstructionX64.h                                                    | C++                |         81 |          1 |          8 |         90 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\Fallbacks.cpp                                                           | C++                |        456 |         76 |         84 |        616 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\Fallbacks.h                                                             | C++                |         19 |          2 |          4 |         25 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\FallbacksProlog.h                                                       | C++                |         41 |          7 |          9 |         57 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\NativeState.cpp                                                         | C++                |         71 |          3 |         20 |         94 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\NativeState.h                                                           | C++                |         76 |          6 |         28 |        110 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\UnwindBuilderDwarf2.cpp                                                 | C++                |        168 |         17 |         45 |        230 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\CodeGen\src\UnwindBuilderWin.cpp                                                    | C++                |        100 |          7 |         28 |        135 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Common\include\Luau\Bytecode.h                                                      | C++                |        176 |        267 |         90 |        533 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Common\include\Luau\Common.h                                                        | C++                |        113 |          2 |         20 |        135 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Common\include\Luau\ExperimentalFlags.h                                             | C++                |         18 |          4 |          7 |         29 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\include\Luau\BytecodeBuilder.h                                             | C++                |        202 |          7 |         66 |        275 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\include\Luau\Compiler.h                                                    | C++                |         37 |         15 |         17 |         69 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\include\luacode.h                                                          | C++                |         16 |         14 |         10 |         40 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\BuiltinFolding.cpp                                                     | C++                |        365 |          4 |         96 |        465 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\BuiltinFolding.h                                                       | C++                |          9 |          1 |          5 |         15 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\Builtins.cpp                                                           | C++                |        218 |          2 |         29 |        249 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\Builtins.h                                                             | C++                |         32 |          1 |         11 |         44 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\BytecodeBuilder.cpp                                                    | C++                |      1,575 |        105 |        462 |      2,142 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\Compiler.cpp                                                           | C++                |      2,816 |        279 |        809 |      3,904 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\ConstantFolding.cpp                                                    | C++                |        369 |         15 |         64 |        448 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\ConstantFolding.h                                                      | C++                |         39 |          1 |         10 |         50 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\CostModel.cpp                                                          | C++                |        293 |         22 |         78 |        393 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\CostModel.h                                                            | C++                |         12 |          4 |          7 |         23 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\TableShape.cpp                                                         | C++                |        123 |          5 |         31 |        159 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\TableShape.h                                                           | C++                |         15 |          1 |          6 |         22 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\ValueTracking.cpp                                                      | C++                |         80 |          2 |         22 |        104 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\ValueTracking.h                                                        | C++                |         32 |          1 |         10 |         43 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Compiler\src\lcode.cpp                                                              | C++                |         20 |          1 |          9 |         30 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Makefile                                                                            | Makefile           |        169 |         15 |         52 |        236 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\README.md                                                                           | Markdown           |         44 |          0 |         30 |         74 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\SECURITY.md                                                                         | Markdown           |          8 |          0 |          7 |         15 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Sources.cmake                                                                       | CMake              |        387 |          0 |         23 |        410 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\VM\include\lua.h                                                                    | C++                |        243 |        131 |         90 |        464 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\VM\include\luaconf.h                                                                | C++                |         77 |         35 |         25 |        137 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\VM\include\lualib.h                                                                 | C++                |         85 |         16 |         37 |        138 |
