"filename", "language", "Markdown", "JSON", "C++", "YAML", "C", "Ignore", "Python", "XML", "Makefile", "CMake", "SVG", "HTML", "CSS", "Ruby", "SCSS", "JavaScript React", "TypeScript", "JavaScript", "Go", "Rust", "Java", "C#", "PHP", "Less", "CoffeeScript", "TypeScript React", "SQL", "JSON with Comments", "GLSL", "Shell Script", "Batch", "CUDA C++", "Properties", "pip requirements", "Jinja", "Objective-C", "Lua", "LaTeX", "BibTeX", "Protocol Buffers", "Objective-C++", "Gradle", "Kotlin", "comment", "blank", "total"
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\editor\Gizmos.h", "C++", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\editor\ImGuiExtended.h", "C++", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\editor\ImGuiTimeline.h", "C++", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 102
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\editor\MenuBar.h", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\editor\ProjectScreen.h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\editor\SceneHierarchyPanel.h", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\editor\SceneManagementPanel.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\editor\Timeline.h", "C++", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\latex\LaTexLayer.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\math\DataStructures.h", "C++", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 225
