Date : 2023-01-07 13:53:57
Directory : c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include
Total : 71 files,  4745 codes, 280 comments, 776 blanks, all 5801 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         71 |      4,745 |        280 |        776 |      5,801 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\svg\SvgCache.h                    | C++      |         69 |          1 |         18 |         88 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\svg\SvgParser.h                   | C++      |         16 |          0 |          6 |         22 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\svg\TexturePacker.h               | C++      |         39 |          0 |          9 |         48 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\utils\CMath.h                     | C++      |        164 |         23 |         43 |        230 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\utils\FontAwesome.h               | C++      |          5 |          0 |          3 |          8 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\utils\IconsFontAwesome5.h         | C++      |      1,008 |          3 |          2 |      1,013 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\utils\IconsFontAwesome5Brands.h   | C++      |        462 |          3 |          2 |        467 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\utils\LRUCache.hpp                | C++      |        123 |         14 |         25 |        162 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\utils\TableOfContents.h           | C++      |         19 |          0 |          6 |         25 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\video\Encoder.h                   | C++      |         41 |          1 |         10 |         52 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\video\NvidiaEncoder.h             | C++      |         26 |          0 |          6 |         32 |
| Total                                                                                              |          |      4,745 |        280 |        776 |      5,801 |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
